Tree;Sp;DY;RF;nC;nE;nL;nM
9;PISY;95;3;5;0;0;0
9;PISY;102;1;4;1;0;0
9;PISY;102;2;4;1;0;0
9;PISY;102;3;4;1;0;0
9;PISY;109;1;5;2;0;0
9;PISY;109;2;6;3;0;0
9;PISY;109;3;NA;NA;0;0
9;PISY;116;1;7;6;0;0
9;PISY;116;2;8;7;0;0
9;PISY;116;3;9;8;0;0
9;PISY;123;1;7;4;3;0
9;PISY;123;2;8;5;3;0
9;PISY;123;3;NA;NA;2;0
9;PISY;130;1;7;5;6;0
9;PISY;130;2;8;6;7;0
9;PISY;130;3;8;NA;8;0
9;PISY;137;1;7;5;10;0
9;PISY;137;2;8;6;11;0
9;PISY;137;3;8;6;NA;0
9;PISY;144;1;6;4;15;0
9;PISY;144;2;7;5;16;0
9;PISY;144;3;8;6;17;0
9;PISY;151;1;8;3;12;2
9;PISY;151;2;9;4;13;3
9;PISY;151;3;10;5;14;4
9;PISY;158;1;9;2;10;6
9;PISY;158;2;10;3;10;7
9;PISY;158;3;11;3;11;8
9;PISY;165;1;7;2;10;14
9;PISY;165;2;8;3;11;15
9;PISY;165;3;9;4;12;16
9;PISY;172;1;9;3;9;17
9;PISY;172;2;10;4;8;17
9;PISY;172;3;11;5;7;18
9;PISY;179;1;7;5;10;25
9;PISY;179;2;9;5;11;24
9;PISY;179;3;8;4;12;23
9;PISY;186;1;9;3;10;28
9;PISY;186;2;10;4;10;28
9;PISY;186;3;11;5;10;31
9;PISY;193;1;9;2;13;21
9;PISY;193;2;NA;3;14;NA
9;PISY;193;3;NA;4;15;NA
9;PISY;200;1;7;2;12;24
9;PISY;200;2;8;3;13;25
9;PISY;200;3;9;4;12;26
9;PISY;207;1;7;1;13;20
9;PISY;207;2;8;2;14;22
9;PISY;207;3;NA;2;15;23
9;PISY;214;1;7;1;15;24
9;PISY;214;2;NA;2;15;25
9;PISY;214;3;NA;NA;14;25
9;PISY;221;1;7;1;12;24
9;PISY;221;2;NA;NA;13;25
9;PISY;221;3;NA;NA;14;26
9;PISY;228;1;6;1;12;27
9;PISY;228;2;7;1;13;26
9;PISY;228;3;8;2;13;25
9;PISY;235;1;7;1;12;31
9;PISY;235;2;NA;1;13;27
9;PISY;235;3;NA;2;14;26
9;PISY;242;1;6;1;12;32
9;PISY;242;2;7;1;13;31
9;PISY;242;3;NA;2;14;34
9;PISY;249;1;7;1;9;23
9;PISY;249;2;8;2;8;21
9;PISY;249;3;9;3;10;24
9;PISY;256;1;6;0;14;33
9;PISY;256;2;7;1;13;34
9;PISY;256;3;8;2;12;35
9;PISY;263;1;7;0;13;42
9;PISY;263;2;NA;0;14;42
9;PISY;263;3;NA;0;15;41
9;PISY;270;1;6;0;11;37
9;PISY;270;2;7;0;12;36
9;PISY;270;3;7;0;11;37
9;PISY;277;1;7;0;17;48
9;PISY;277;2;8;0;18;51
9;PISY;277;3;8;0;19;51
9;PISY;284;1;7;0;18;53
9;PISY;284;2;7;0;15;NA
9;PISY;284;3;7;0;17;NA
9;PISY;291;1;8;0;16;55
9;PISY;291;2;8;0;15;NA
9;PISY;291;3;7;0;14;NA
9;PISY;298;1;6;0;7;60
9;PISY;298;2;7;0;8;62
9;PISY;298;3;7;0;9;59
9;PISY;305;1;7;0;0;62
9;PISY;305;2;6;0;0;60
9;PISY;305;3;6;0;1;63
9;PISY;312;1;7;0;0;60
9;PISY;312;2;6;0;0;58
9;PISY;312;3;6;0;0;59
10;PISY;82;1;8;0;0;0
10;PISY;82;2;9;0;0;0
10;PISY;82;3;NA;0;0;0
10;PISY;95;1;8;0;0;0
10;PISY;95;2;9;0;0;0
10;PISY;95;3;8;0;0;0
10;PISY;102;1;6;2;0;0
10;PISY;102;2;7;1;0;0
10;PISY;102;3;8;0;0;0
10;PISY;109;1;11;3;0;0
10;PISY;109;2;11;4;0;0
10;PISY;109;3;11;5;0;0
10;PISY;116;1;11;7;0;0
10;PISY;116;2;NA;7;0;0
10;PISY;116;3;NA;NA;0;0
10;PISY;123;1;10;9;4;0
10;PISY;123;2;11;8;5;0
10;PISY;123;3;12;7;6;0
10;PISY;130;1;12;8;16;0
10;PISY;130;2;NA;NA;NA;0
10;PISY;130;3;NA;NA;NA;0
10;PISY;137;1;11;11;26;0
10;PISY;137;2;11;14;23;0
10;PISY;137;3;9;13;28;0
10;PISY;144;1;12;10;18;0
10;PISY;144;2;11;NA;19;0
10;PISY;144;3;10;NA;19;0
10;PISY;151;1;9;9;21;3
10;PISY;151;2;10;8;25;3
10;PISY;151;3;11;7;24;3
10;PISY;158;1;9;8;29;5
10;PISY;158;2;10;NA;23;5
10;PISY;158;3;NA;NA;27;5
10;PISY;165;1;10;4;21;9
10;PISY;165;2;8;5;19;11
10;PISY;165;3;9;4;17;13
10;PISY;172;1;10;4;18;19
10;PISY;172;2;12;3;13;24
10;PISY;172;3;11;4;17;21
10;PISY;179;1;10;3;9;25
10;PISY;179;2;10;3;9;25
10;PISY;179;3;9;4;8;24
10;PISY;186;1;10;4;9;22
10;PISY;186;2;NA;3;7;26
10;PISY;186;3;NA;4;8;24
10;PISY;193;1;9;3;7;31
10;PISY;193;2;NA;4;8;32
10;PISY;193;3;NA;NA;6;31
10;PISY;200;1;8;3;8;29
10;PISY;200;2;NA;3;8;31
10;PISY;200;3;NA;4;9;32
10;PISY;207;1;7;3;8;39
10;PISY;207;2;8;NA;9;40
10;PISY;207;3;NA;NA;10;43
10;PISY;214;1;7;1;11;45
10;PISY;214;2;8;2;12;43
10;PISY;214;3;7;3;13;42
10;PISY;221;1;7;3;15;49
10;PISY;221;2;NA;NA;13;48
10;PISY;221;3;NA;NA;14;45
10;PISY;228;1;7;2;16;40
10;PISY;228;2;NA;NA;16;44
10;PISY;228;3;NA;NA;17;41
10;PISY;235;1;8;2;12;40
10;PISY;235;2;9;3;14;43
10;PISY;235;3;10;4;14;42
10;PISY;242;1;8;3;14;40
10;PISY;242;2;9;3;14;43
10;PISY;242;3;10;2;12;42
10;PISY;249;1;8;1;19;50
10;PISY;249;2;9;2;18;51
10;PISY;249;3;10;3;17;53
10;PISY;256;1;9;2;21;46
10;PISY;256;2;8;3;20;43
10;PISY;256;3;10;4;22;42
10;PISY;263;1;7;0;16;46
10;PISY;263;2;7;0;17;47
10;PISY;263;3;8;0;18;48
10;PISY;270;1;8;0;19;47
10;PISY;270;2;8;0;20;48
10;PISY;270;3;8;0;21;49
10;PISY;277;1;7;0;21;61
10;PISY;277;2;8;0;22;63
10;PISY;277;3;9;0;23;64
10;PISY;284;1;7;0;18;63
10;PISY;284;2;8;0;20;69
10;PISY;284;3;9;0;21;68
10;PISY;291;1;7;0;16;65
10;PISY;291;2;8;0;17;65
10;PISY;291;3;8;0;18;70
10;PISY;298;1;7;0;8;67
10;PISY;298;2;8;0;10;66
10;PISY;298;3;9;0;12;65
10;PISY;305;1;8;0;0;68
10;PISY;305;2;8;0;1;68
10;PISY;305;3;8;0;1;68
10;PISY;312;1;8;0;0;80
10;PISY;312;2;8;0;0;81
10;PISY;312;3;8;0;1;79
10;PISY;319;1;8;0;0;78
10;PISY;319;2;8;0;0;79
10;PISY;319;3;8;0;0;80
